_id,author,category,etext,language,title,zipfile
3436,"Haultain, Arnold",Non-fiction,http://www.gutenberg.org/etext/14255,English,Hints for Lovers,http://www.archive.org/download/hints_for_lovers_0911_librivox/hints_for_lovers_0911_librivox_64kb_mp3.zip
3437,"Fielding, Henry",Fiction,http://www.gutenberg.org/etext/5256,English,"History of the Life of the Late Mr. Jonathan Wild the Great, The",http://www.archive.org/download/jonathan_wild_ds_librivox/jonathan_wild_ds_librivox_64kb_mp3.zip
3438,"Peacock, Thomas Love",Fiction,http://www.gutenberg.org/dirs/etext06/8nmab10.txt,English,Nightmare Abbey,http://www.archive.org/download/nightmareabbey_mfs_librivox/nightmareabbey_mfs_librivox_64kb_mp3.zip
3439,"Lewis, Sinclair",Fiction,http://www.gutenberg.org/etext/25474,English,"Job, The",http://www.archive.org/download/thejob_mh_librivox/thejob_mh_librivox_64kb_mp3.zip
3440,"Trollope, Anthony",Fiction,http://www.gutenberg.org/etext/2158,English,"Prime Minister, The",http://www.archive.org/download/prime_minister_1002_librivox/prime_minister_1002_librivox_64kb_mp3.zip
3441,"Behn, Aphra",Fiction,http://ebooks.adelaide.edu.au/b/behn/aphra/b42o/index.html,English,"Oroonoko, or The Royal Slave",http://www.archive.org/download/oroonoko_0908_librivox/oroonoko_0908_librivox_64kb_mp3.zip
3442,"Shinn, Florence Scovel",Non-fiction,http://www.sacred-texts.com/nth/shinn/gol/index.htm,English,"Game of Life and How to Play It, The",http://www.archive.org/download/game_of_life_0911_librivox/game_of_life_0911_librivox_64kb_mp3.zip
3443,"Sterne, Laurence",Fiction,http://www.gutenberg.org/etext/1079,English,"Life and Opinions of Tristram Shandy, Gentleman, The, Vol. 3",http://www.archive.org/download/tristramshandy_3_0912_librivox/tristramshandy_3_0912_librivox_64kb_mp3.zip
3444,"Cuthbertson, James Lister",Poetry,http://www.bartleby.com/101/798.html,English,"Australian Sunrise, The",http://www.archive.org/download/australiansunrise_0908_librivox/australiansunrise_0908_librivox_64kb_mp3.zip
3445,Aesop,Non-fiction,,English,"Celebration of Dialects and Accents, Vol 1.",http://www.archive.org/download/dialect_accent_0909_librivox/dialect_accent_0909_librivox_64kb_mp3.zip
